Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
2024,NBA,Eastern Conf First Round,Apr 21 - May 1 2024,,Boston Celtics (1),4,,Miami Heat (8),1,,BOS (-10000),MIA (+2000)
2024,NBA,Eastern Conf First Round,Apr 20 - May 5 2024,,Cleveland Cavaliers (4),4,,Orlando Magic (5),3,,CLE (-210),ORL (+180)
2024,NBA,Eastern Conf First Round,Apr 21 - May 2 2024,,Indiana Pacers (6),4,,Milwaukee Bucks (3),2,,IND (-125),MIL (+105)
2024,NBA,Eastern Conf First Round,Apr 20 - May 2 2024,,New York Knicks (2),4,,Philadelphia 76ers (7),2,,NYK (-140),PHI (+120)
2024,NBA,Western Conf First Round,Apr 21 - Apr 29 2024,,Oklahoma City Thunder (1),4,,New Orleans Pelicans (8),0,,OKC (-700),NOP (+500)
2024,NBA,Western Conf First Round,Apr 21 - May 3 2024,,Dallas Mavericks (5),4,,Los Angeles Clippers (4),2,,DAL (-190),LAC (+165)
2024,NBA,Western Conf First Round,Apr 20 - Apr 28 2024,,Minnesota Timberwolves (3),4,,Phoenix Suns (6),0,,PHO (-130),MIN (+110)
2024,NBA,Western Conf First Round,Apr 20 - Apr 29 2024,,Denver Nuggets (2),4,,Los Angeles Lakers (7),1,,DEN (-340),LAL (+280)
2024,NBA,Eastern Conf Semifinals,May 6 - May 19 2024,,Indiana Pacers (6),4,,New York Knicks (2),3,,NYK (-260),IND (+220)
2024,NBA,Western Conf Semifinals,May 7 - May 18 2024,,Dallas Mavericks (5),4,,Oklahoma City Thunder (1),2,,OKC (-130),DAL (+110)
2024,NBA,Western Conf Semifinals,May 4 - May 19 2024,,Minnesota Timberwolves (3),4,,Denver Nuggets (2),3,,DEN (-200),MIN (+170)
2024,NBA,Eastern Conf Semifinals,May 7 - May 15 2024,,Boston Celtics (1),4,,Cleveland Cavaliers (4),1,,BOS (-2500),CLE (+1100)
2024,NBA,Eastern Conf Finals,May 21 - May 27 2024,,Boston Celtics (1),4,,Indiana Pacers (6),0,,BOS (-900),IND (+600)
2024,NBA,Western Conf Finals,May 22 - May 30 2024,,Dallas Mavericks (5),4,,Minnesota Timberwolves (3),1,,MIN (-175),DAL (+155)
2024,NBA,Finals,Jun 6 - Jun 17 2024,,Boston Celtics (1),4,,Dallas Mavericks (5),1,,BOS (-900),IND (+600)
2023,NBA,Eastern Conf First Round,Apr 16 - Apr 26 2023,,Miami Heat (8),4,,Milwaukee Bucks (1),1,,MIL (-1200),MIA (+750)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 26 2023,,New York Knicks (5),4,,Cleveland Cavaliers (4),1,,CLE (-190),NYK (+170)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 22 2023,,Philadelphia 76ers (3),4,,Brooklyn Nets (6),0,,PHI (-1100),BRK (+700)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2023,,Boston Celtics (2),4,,Atlanta Hawks (7),2,,BOS (-1600),ATL (+900)
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,,Denver Nuggets (1),4,,Minnesota Timberwolves (8),1,,DEN (-550),MIN (+425)
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,,Phoenix Suns (4),4,,Los Angeles Clippers (5),1,,PHO (-500),LAC (+400)
2023,NBA,Western Conf First Round,Apr 15 - Apr 30 2023,,Golden State Warriors (6),4,,Sacramento Kings (3),3,,GSW (-265),SAC (+225)
2023,NBA,Western Conf First Round,Apr 16 - Apr 28 2023,,Los Angeles Lakers (7),4,,Memphis Grizzlies (2),2,,MEM (-140),LAL (+120)
2023,NBA,Eastern Conf Semifinals,Apr 30 - May 12 2023,,Miami Heat (8),4,,New York Knicks (5),2,,NYK (-160),MIA (+140)
2023,NBA,Eastern Conf Semifinals,May 1 - May 14 2023,,Boston Celtics (2),4,,Philadelphia 76ers (3),3,,BOS (-550),PHI (+425)
2023,NBA,Western Conf Semifinals,Apr 29 - May 11 2023,,Denver Nuggets (1),4,,Phoenix Suns (4),2,,PHO (-120),DEN (+100)
2023,NBA,Western Conf Semifinals,May 2 - May 12 2023,,Los Angeles Lakers (7),4,,Golden State Warriors (6),2,,GSW (-150),LAL (+130)
2023,NBA,Western Conf Finals,May 16 - May 22 2023,,Denver Nuggets (1),4,,Los Angeles Lakers (7),0,,DEN (-170),LAL (+145)
2023,NBA,Eastern Conf Finals,May 17 - May 29 2023,,Miami Heat (8),4,,Boston Celtics (2),3,,BOS (-550),MIA (+400)
2023,NBA,Finals,Jun 1 - Jun 12 2023,,Denver Nuggets (1),4,,Miami Heat (8),1,,DEN (-430),MIA (+330)
2022,NBA,Eastern Conf First Round,Apr 17 - Apr 27 2022,,Milwaukee Bucks (3),4,,Chicago Bulls (6),1,,MIL (-1100),CHI (+700)
2022,NBA,Western Conf First Round,Apr 16 - Apr 29 2022,,Memphis Grizzlies (2),4,,Minnesota Timberwolves (7),2,,MEM (-320),MIN (+260)
2022,NBA,Eastern Conf First Round,Apr 17 - Apr 25 2022,,Boston Celtics (2),4,,Brooklyn Nets (7),0,,BOS (-130),BRK (+110)
2022,NBA,Western Conf First Round,Apr 16 - Apr 27 2022,,Golden State Warriors (3),4,,Denver Nuggets (6),1,,GSW (-275),DEN (+225)
2022,NBA,Western Conf First Round,Apr 16 - Apr 28 2022,,Dallas Mavericks (4),4,,Utah Jazz (5),2,,UTA (-300),DAL (+245)
2022,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2022,,Philadelphia 76ers (4),4,,Toronto Raptors (5),2,,PHI (-175),TOR (+155)
2022,NBA,Western Conf First Round,Apr 17 - Apr 28 2022,,Phoenix Suns (1),4,,New Orleans Pelicans (8),2,,PHO (-1350),NOP (+750)
2022,NBA,Eastern Conf First Round,Apr 17 - Apr 26 2022,,Miami Heat (1),4,,Atlanta Hawks (8),1,,MIA (-420),ATL (+330)
2022,NBA,Eastern Conf Semifinals,May 1 - May 15 2022,,Boston Celtics (2),4,,Milwaukee Bucks (3),3,,BOS (-200),MIL (+170)
2022,NBA,Eastern Conf Semifinals,May 2 - May 12 2022,,Miami Heat (1),4,,Philadelphia 76ers (4),2,,MIA (-310),PHI (+250)
2022,NBA,Western Conf Semifinals,May 2 - May 15 2022,,Dallas Mavericks (4),4,,Phoenix Suns (1),3,,PHO (-295),DAL (+240)
2022,NBA,Western Conf Semifinals,May 1 - May 13 2022,,Golden State Warriors (3),4,,Memphis Grizzlies (2),2,,GSW (-255),MEM (+210)
2022,NBA,Western Conf Finals,May 18 - May 26 2022,,Golden State Warriors (3),4,,Dallas Mavericks (4),1,,GSW (-220),DAL (+180)
2022,NBA,Eastern Conf Finals,May 17 - May 29 2022,,Boston Celtics (2),4,,Miami Heat (1),3,,BOS (-160),MIA (+140)
2022,NBA,Finals,Jun 2 - Jun 16 2022,,Golden State Warriors (3),4,,Boston Celtics (2),2,,GSW (-145),BOS (+125)
2021,NBA,Eastern Conf First Round,May 22 - May 29 2021,,Milwaukee Bucks (3),4,,Miami Heat (6),0,,MIL (-320),MIA (+250)
2021,NBA,Western Conf First Round,May 22 - Jun 6 2021,,Los Angeles Clippers (4),4,,Dallas Mavericks (5),3,,LAC (-400),DAL (+310)
2021,NBA,Eastern Conf First Round,May 22 - Jun 1 2021,,Brooklyn Nets (2),4,,Boston Celtics (7),1,,BRK (-1400),BOS (+800)
2021,NBA,Western Conf First Round,May 22 - Jun 3 2021,,Denver Nuggets (3),4,,Portland Trail Blazers (6),2,,POR (-130),DEN (+110)
2021,NBA,Eastern Conf First Round,May 23 - Jun 2 2021,,Philadelphia 76ers (1),4,,Washington Wizards (8),1,,PHI (-1000),WAS (+650)
2021,NBA,Western Conf First Round,May 23 - Jun 2 2021,,Utah Jazz (1),4,,Memphis Grizzlies (8),1,,UTA (-1400),MEM (+800)
2021,NBA,Eastern Conf First Round,May 23 - Jun 2 2021,,Atlanta Hawks (5),4,,New York Knicks (4),1,,ATL (-130),NYK (+110)
2021,NBA,Western Conf First Round,May 23 - Jun 3 2021,,Phoenix Suns (2),4,,Los Angeles Lakers (7),2,,LAL (-175),PHO (+155)
2021,NBA,Eastern Conf Semifinals,Jun 5 - Jun 19 2021,,Milwaukee Bucks (3),4,,Brooklyn Nets (2),3,,BRK (-180),MIL (+160)
2021,NBA,Eastern Conf Semifinals,Jun 6 - Jun 20 2021,,Atlanta Hawks (5),4,,Philadelphia 76ers (1),3,,PHI (-175),ATL (+155)
2021,NBA,Western Conf Semifinals,Jun 7 - Jun 13 2021,,Phoenix Suns (2),4,,Denver Nuggets (3),0,,PHO (-210),DEN (+175)
2021,NBA,Western Conf Semifinals,Jun 8 - Jun 18 2021,,Los Angeles Clippers (4),4,,Utah Jazz (1),2,,UTA (-130),LAC (+110)
2021,NBA,Western Conf Finals,Jun 20 - Jun 30 2021,,Phoenix Suns (2),4,,Los Angeles Clippers (4),2,,PHO (-200),LAC (+170)
2021,NBA,Eastern Conf Finals,Jun 23 - Jul 3 2021,,Milwaukee Bucks (3),4,,Atlanta Hawks (5),2,,MIL (-500),ATL (+400)
2021,NBA,Finals,Jul 6 - Jul 20 2021,,Milwaukee Bucks (3),4,,Phoenix Suns (2),2,,PHO (-180),MIL (+160)
2020,NBA,Eastern Conf First Round,Aug 18 - Aug 29 2020,,Milwaukee Bucks (1),4,,Orlando Magic (8),1,,MIL (-7500),ORL (+3250)
2020,NBA,Eastern Conf First Round,Aug 17 - Aug 23 2020,,Toronto Raptors (2),4,,Brooklyn Nets (7),0,,TOR (-2200),BRK (+1315)
2020,NBA,Eastern Conf First Round,Aug 17 - Aug 23 2020,,Boston Celtics (3),4,,Philadelphia 76ers (6),0,,BOS (-450),PHI (+360)
2020,NBA,Eastern Conf First Round,Aug 18 - Aug 24 2020,,Miami Heat (5),4,,Indiana Pacers (4),0,,MIA (-320),IND (+260)
2020,NBA,Western Conf First Round,Aug 18 - Aug 29 2020,,Los Angeles Lakers (1),4,,Portland Trail Blazers (8),1,,LAL (-550),POR (+425)
2020,NBA,Western Conf First Round,Aug 17 - Aug 30 2020,,Los Angeles Clippers (2),4,,Dallas Mavericks (7),2,,LAC (-630),DAL (+465)
2020,NBA,Western Conf First Round,Aug 17 - Sep 1 2020,,Denver Nuggets (3),4,,Utah Jazz (6),3,,DEN (-285),UTA (+243)
2020,NBA,Western Conf First Round,Aug 18 - Sep 2 2020,,Houston Rockets (4),4,,Oklahoma City Thunder (5),3,,HOU (-160),OKC (+140)
2020,NBA,Eastern Conf Semifinals,Aug 30 - Sep 11 2020,,Boston Celtics (3),4,,Toronto Raptors (2),3,,TOR (-135),BOS (+115)
2020,NBA,Eastern Conf Semifinals,Aug 31 - Sep 8 2020,,Miami Heat (5),4,,Milwaukee Bucks (1),1,,MIL (-440),MIA (+350)
2020,NBA,Western Conf Semifinals,Sep 3 - Sep 15 2020,,Denver Nuggets (3),4,,Los Angeles Clippers (2),3,,LAC (-1300),DEN (+850)
2020,NBA,Western Conf Semifinals,Sep 4 - Sep 12 2020,,Los Angeles Lakers (1),4,,Houston Rockets (4),1,,LAL (-550),HOU (+425)
2020,NBA,Eastern Conf Finals,Sep 15 - Sep 27 2020,,Miami Heat (5),4,,Boston Celtics (3),2,,BOS (-130),MIA (+110)
2020,NBA,Western Conf Finals,Sep 18 - Sep 26 2020,,Los Angeles Lakers (1),4,,Denver Nuggets (3),1,,LAL (-550),DEN (+425)
2020,NBA,Finals,Sep 30 - Oct 11 2020,,Los Angeles Lakers (1),4,,Miami Heat (5),2,,LAL (-350),MIA (+290)
2019,NBA,Eastern Conf First Round,Apr 14 - Apr 22 2019,,Milwaukee Bucks (1),4,,Detroit Pistons (8),0,,MIL (-3500),DET (+1750)
2019,NBA,Eastern Conf First Round,Apr 13 - Apr 23 2019,,Toronto Raptors (2),4,,Orlando Magic (7),1,,TOR (-1200),ORL (+775)
2019,NBA,Eastern Conf First Round,Apr 13 - Apr 23 2019,,Philadelphia 76ers (3),4,,Brooklyn Nets (6),1,,PHI (-600),BRK (+450)
2019,NBA,Eastern Conf First Round,Apr 14 - Apr 21 2019,,Boston Celtics (4),4,,Indiana Pacers (5),0,,BOS (-465),IND (+370)
2019,NBA,Western Conf First Round,Apr 13 - Apr 26 2019,,Golden State Warriors (1),4,,Los Angeles Clippers (8),2,,GSW (-15000),LAC (+6000)
2019,NBA,Western Conf First Round,Apr 13 - Apr 27 2019,,Denver Nuggets (2),4,,San Antonio Spurs (7),3,,DEN (-270),SAS (+230)
2019,NBA,Western Conf First Round,Apr 14 - Apr 23 2019,,Portland Trail Blazers (3),4,,Oklahoma City Thunder (6),1,,OKC (-165),POR (+145)
2019,NBA,Western Conf First Round,Apr 14 - Apr 24 2019,,Houston Rockets (4),4,,Utah Jazz (5),1,,HOU (-310),UTA (+255)
2019,NBA,Eastern Conf Semifinals,Apr 28 - May 8 2019,,Milwaukee Bucks (1),4,,Boston Celtics (4),1,,MIL (-360),BOS (+300)
2019,NBA,Eastern Conf Semifinals,Apr 27 - May 12 2019,,Toronto Raptors (2),4,,Philadelphia 76ers (3),3,,TOR (-290),PHI (+245)
2019,NBA,Western Conf Semifinals,Apr 28 - May 10 2019,,Golden State Warriors (1),4,,Houston Rockets (4),2,,GSW (-280),HOU (+240)
2019,NBA,Western Conf Semifinals,Apr 29 - May 12 2019,,Portland Trail Blazers (3),4,,Denver Nuggets (2),3,,DEN (-145),POR (+125)
2019,NBA,Eastern Conf Finals,May 15 - May 25 2019,,Toronto Raptors (2),4,,Milwaukee Bucks (1),2,,MIL (-270),TOR (+230)
2019,NBA,Western Conf Finals,May 14 - May 20 2019,,Golden State Warriors (1),4,,Portland Trail Blazers (3),0,,GSW (-550),POR (+425)
2019,NBA,Finals,May 30 - Jun 13 2019,,Toronto Raptors (2),4,,Golden State Warriors (1),2,,GSW (-270),TOR (+230)
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 27 2018,,Toronto Raptors (1),4,,Washington Wizards (8),2,,TOR (-630),WAS (+465)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 28 2018,,Boston Celtics (2),4,,Milwaukee Bucks (7),3,,BOS (-150),MIL (+130)
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 24 2018,,Philadelphia 76ers (3),4,,Miami Heat (6),1,,PHI (-500),MIA (+400)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 29 2018,,Cleveland Cavaliers (4),4,,Indiana Pacers (5),3,,CLE (-600),IND (+450)
2018,NBA,Western Conf First Round,Apr 15 - Apr 25 2018,,Houston Rockets (1),4,,Minnesota Timberwolves (8),1,,HOU (-3000),MIN (+1500)
2018,NBA,Western Conf First Round,Apr 14 - Apr 24 2018,,Golden State Warriors (2),4,,San Antonio Spurs (7),1,,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,Apr 14 - Apr 21 2018,,New Orleans Pelicans (6),4,,Portland Trail Blazers (3),0,,POR (-220),NOP (+180)
2018,NBA,Western Conf First Round,Apr 15 - Apr 27 2018,,Utah Jazz (5),4,,Oklahoma City Thunder (4),2,,OKC (-140),UTA (+120)
2018,NBA,Western Conf Semifinals,Apr 28 - May 8 2018,,Golden State Warriors (2),4,,New Orleans Pelicans (6),1,,GSW (-1050),NOP (+675)
2018,NBA,Western Conf Semifinals,Apr 29 - May 8 2018,,Houston Rockets (1),4,,Utah Jazz (5),1,,HOU (-1500),UTA (+1000)
2018,NBA,Eastern Conf Semifinals,Apr 30 - May 9 2018,,Boston Celtics (2),4,,Philadelphia 76ers (3),1,,PHI (-525),BOS (+415)
2018,NBA,Eastern Conf Semifinals,May 1 - May 7 2018,,Cleveland Cavaliers (4),4,,Toronto Raptors (1),0,,TOR (-190),CLE (+165)
2018,NBA,Eastern Conf Finals,May 13 - May 27 2018,,Cleveland Cavaliers (4),4,,Boston Celtics (2),3,,CLE (-275),BOS (+235)
2018,NBA,Western Conf Finals,May 14 - May 28 2018,,Golden State Warriors (2),4,,Houston Rockets (1),3,,GSW (-200),HOU (+170)
2018,NBA,Finals,May 31 - Jun 8 2018,,Golden State Warriors (2),4,,Cleveland Cavaliers (4),0,,GSW (-1075),CLE (+688)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Boston Celtics (1),4,,Chicago Bulls (8),2,,BOS (-470),CHI (+375)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 23 2017,,Cleveland Cavaliers (2),4,,Indiana Pacers (7),0,,CLE (-1100),IND (+700)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2017,,Toronto Raptors (3),4,,Milwaukee Bucks (6),2,,TOR (-440),MIL (+350)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Washington Wizards (4),4,,Atlanta Hawks (5),2,,WAS (-220),ATL (+180)
2017,NBA,Western Conf First Round,Apr 16 - Apr 24 2017,,Golden State Warriors (1),4,,Portland Trail Blazers (8),0,,GSW (-7000),POR (+3000)
2017,NBA,Western Conf First Round,Apr 15 - Apr 27 2017,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),2,,SAS (-1070),MEM (+685)
2017,NBA,Western Conf First Round,Apr 16 - Apr 25 2017,,Houston Rockets (3),4,,Oklahoma City Thunder (6),1,,HOU (-390),OKC (+320)
2017,NBA,Western Conf First Round,Apr 15 - Apr 30 2017,,Utah Jazz (5),4,,Los Angeles Clippers (4),3,,LAC (-245),UTA (+205)
2017,NBA,Eastern Conf Semifinals,May 1 - May 7 2017,,Cleveland Cavaliers (2),4,,Toronto Raptors (3),0,,CLE (-475),TOR (+380)
2017,NBA,Eastern Conf Semifinals,Apr 30 - May 15 2017,,Boston Celtics (1),4,,Washington Wizards (4),3,,BOS (-185),WAS (+160)
2017,NBA,Western Conf Semifinals,May 2 - May 8 2017,,Golden State Warriors (1),4,,Utah Jazz (5),0,,GSW (-3200),UTA (+1600)
2017,NBA,Western Conf Semifinals,May 1 - May 11 2017,,San Antonio Spurs (2),4,,Houston Rockets (3),2,,SAS (-300),HOU (+250)
2017,NBA,Western Conf Finals,May 14 - May 22 2017,,Golden State Warriors (1),4,,San Antonio Spurs (2),0,,GSW (-1050),SAS (+675)
2017,NBA,Eastern Conf Finals,May 17 - May 25 2017,,Cleveland Cavaliers (2),4,,Boston Celtics (1),1,,CLE (-700),BOS (+500)
2017,NBA,Finals,Jun 1 - Jun 12 2017,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),1,,GSW (-300),CLE (+250)
2016,NBA,Eastern Conf First Round,Apr 17 - Apr 24 2016,,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0,,CLE (-1700),DET (+1100)
2016,NBA,Eastern Conf First Round,Apr 16 - May 1 2016,,Toronto Raptors (2),4,,Indiana Pacers (7),3,,TOR (-400),IND (+325)
2016,NBA,Eastern Conf First Round,Apr 17 - May 1 2016,,Miami Heat (3),4,,Charlotte Hornets (6),3,,MIA (-170),CHO (+150)
2016,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2016,,Atlanta Hawks (4),4,,Boston Celtics (5),2,,ATL (-165),BOS (+145)
2016,NBA,Western Conf First Round,Apr 16 - Apr 27 2016,,Golden State Warriors (1),4,,Houston Rockets (8),1,,GSW (-10000),HOU (+4000)
2016,NBA,Western Conf First Round,Apr 17 - Apr 24 2016,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),0,,SAS (-17000),MEM (+6625)
2016,NBA,Western Conf First Round,Apr 16 - Apr 25 2016,,Oklahoma City Thunder (3),4,,Dallas Mavericks (6),1,,OKC (-3500),DAL (+1750)
2016,NBA,Western Conf First Round,Apr 17 - Apr 29 2016,,Portland Trail Blazers (5),4,,Los Angeles Clippers (4),2,,LAC (-525),POR (+415)
2016,NBA,Eastern Conf Semifinals,May 2 - May 8 2016,,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0,,CLE (-500),ATL (+400)
2016,NBA,Eastern Conf Semifinals,May 3 - May 15 2016,,Toronto Raptors (2),4,,Miami Heat (3),3,,TOR (-145),MIA (+125)
2016,NBA,Western Conf Semifinals,May 1 - May 11 2016,,Golden State Warriors (1),4,,Portland Trail Blazers (5),1,,GSW (-1600),POR (+1050)
2016,NBA,Western Conf Semifinals,Apr 30 - May 12 2016,,Oklahoma City Thunder (3),4,,San Antonio Spurs (2),2,,SAS (-270),OKC (+230)
2016,NBA,Eastern Conf Finals,May 17 - May 27 2016,,Cleveland Cavaliers (1),4,,Toronto Raptors (2),2,,CLE (-1350),TOR (+885)
2016,NBA,Western Conf Finals,May 16 - May 30 2016,,Golden State Warriors (1),4,,Oklahoma City Thunder (3),3,,GSW (-430),OKC (+345)
2016,NBA,Finals,Jun 2 - Jun 19 2016,,Cleveland Cavaliers (1),4,,Golden State Warriors (1),3,,GSW (-220),CLE (+180)